acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,_id,bangerVote,songId,voteTime
0.371,https://api.spotify.com/v1/audio-analysis/7KA4W4McWYRpgf0fWsJZWB,0.558,180387,0.559,7KA4W4McWYRpgf0fWsJZWB,7.49e-06,6,0.109,-9.222,1,0.0959,78.558,4,https://api.spotify.com/v1/tracks/7KA4W4McWYRpgf0fWsJZWB,audio_features,spotify:track:7KA4W4McWYRpgf0fWsJZWB,0.62,5bf8c6eb421d7f29e83d38cb,true,7KA4W4McWYRpgf0fWsJZWB,2018-11-23 22:35:07.992
0.371,https://api.spotify.com/v1/audio-analysis/7KA4W4McWYRpgf0fWsJZWB,0.558,180387,0.559,7KA4W4McWYRpgf0fWsJZWB,7.49e-06,6,0.109,-9.222,1,0.0959,78.558,4,https://api.spotify.com/v1/tracks/7KA4W4McWYRpgf0fWsJZWB,audio_features,spotify:track:7KA4W4McWYRpgf0fWsJZWB,0.62,5bf8c7b6421d7f29e83d38ce,true,7KA4W4McWYRpgf0fWsJZWB,2018-11-23 22:38:30.940
0.371,https://api.spotify.com/v1/audio-analysis/7KA4W4McWYRpgf0fWsJZWB,0.558,180387,0.559,7KA4W4McWYRpgf0fWsJZWB,7.49e-06,6,0.109,-9.222,1,0.0959,78.558,4,https://api.spotify.com/v1/tracks/7KA4W4McWYRpgf0fWsJZWB,audio_features,spotify:track:7KA4W4McWYRpgf0fWsJZWB,0.62,5bf8c7c0421d7f29e83d38cf,true,7KA4W4McWYRpgf0fWsJZWB,2018-11-23 22:38:40.733
0.127,https://api.spotify.com/v1/audio-analysis/4bHsxqR3GMrXTxEPLuK5ue,0.5,250987,0.748,4bHsxqR3GMrXTxEPLuK5ue,0.0,4,0.447,-9.072,1,0.0363,118.852,4,https://api.spotify.com/v1/tracks/4bHsxqR3GMrXTxEPLuK5ue,audio_features,spotify:track:4bHsxqR3GMrXTxEPLuK5ue,0.514,5bf88136421d7f0bff397b31,false,4bHsxqR3GMrXTxEPLuK5ue,2018-11-23 17:37:42.354
0.0141,https://api.spotify.com/v1/audio-analysis/116H0KvKr2Zl4RPuVBruDO,0.817,210368,0.539,116H0KvKr2Zl4RPuVBruDO,0.000496,6,0.099,-6.349,0,0.0621,97.062,4,https://api.spotify.com/v1/tracks/116H0KvKr2Zl4RPuVBruDO,audio_features,spotify:track:116H0KvKr2Zl4RPuVBruDO,0.158,5bf881ed421d7f0d66c9a364,false,116H0KvKr2Zl4RPuVBruDO,2018-11-23 17:40:45.671
0.0141,https://api.spotify.com/v1/audio-analysis/116H0KvKr2Zl4RPuVBruDO,0.817,210368,0.539,116H0KvKr2Zl4RPuVBruDO,0.000496,6,0.099,-6.349,0,0.0621,97.062,4,https://api.spotify.com/v1/tracks/116H0KvKr2Zl4RPuVBruDO,audio_features,spotify:track:116H0KvKr2Zl4RPuVBruDO,0.158,5bf88221421d7f0dc6fdd5c3,false,116H0KvKr2Zl4RPuVBruDO,2018-11-23 17:41:37.261
0.0141,https://api.spotify.com/v1/audio-analysis/116H0KvKr2Zl4RPuVBruDO,0.817,210368,0.539,116H0KvKr2Zl4RPuVBruDO,0.000496,6,0.099,-6.349,0,0.0621,97.062,4,https://api.spotify.com/v1/tracks/116H0KvKr2Zl4RPuVBruDO,audio_features,spotify:track:116H0KvKr2Zl4RPuVBruDO,0.158,5bf881ed421d7f0d66c9a364,false,116H0KvKr2Zl4RPuVBruDO,2018-11-23 17:40:45.671
0.0141,https://api.spotify.com/v1/audio-analysis/116H0KvKr2Zl4RPuVBruDO,0.817,210368,0.539,116H0KvKr2Zl4RPuVBruDO,0.000496,6,0.099,-6.349,0,0.0621,97.062,4,https://api.spotify.com/v1/tracks/116H0KvKr2Zl4RPuVBruDO,audio_features,spotify:track:116H0KvKr2Zl4RPuVBruDO,0.158,5bf88221421d7f0dc6fdd5c3,false,116H0KvKr2Zl4RPuVBruDO,2018-11-23 17:41:37.261
0.00135,https://api.spotify.com/v1/audio-analysis/0gmbgwZ8iqyMPmXefof8Yf,0.446,223840,0.764,0gmbgwZ8iqyMPmXefof8Yf,0.0,10,0.099,-5.042,1,0.033,172.094,4,https://api.spotify.com/v1/tracks/0gmbgwZ8iqyMPmXefof8Yf,audio_features,spotify:track:0gmbgwZ8iqyMPmXefof8Yf,0.543,5bf88ef1421d7f0dc6fdd5c4,false,0gmbgwZ8iqyMPmXefof8Yf,2018-11-23 18:36:17.179
0.336,https://api.spotify.com/v1/audio-analysis/4sPmO7WMQUAf45kwMOtONw,0.481,295493,0.451,4sPmO7WMQUAf45kwMOtONw,0.0,5,0.0872,-6.095,0,0.0347,157.966,4,https://api.spotify.com/v1/tracks/4sPmO7WMQUAf45kwMOtONw,audio_features,spotify:track:4sPmO7WMQUAf45kwMOtONw,0.289,5bf8950b421d7f265d0c30f4,false,4sPmO7WMQUAf45kwMOtONw,2018-11-23 19:02:19.064
