id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,banger
2xTnVVLKNsznlNja0mUQNl,0.174,0.639,0.836,0.0,2,0.374,-5.168,0.0347,0
2P3crIdQ7thEBe82s6UOT7,4.5e-05,0.65,0.74,0.872,1,0.115,-5.706,0.0291,0
5KxYlr5w0XT6nscatG5wHW,0.134,0.826,0.859,0.0,8,0.0296,-3.391,0.0399,0
11apVEEvhONPJjGvzbMZiE,0.0762,0.815,0.849,0.93,1,0.0858,-6.115,0.0468,0
3vQf7zwIqAB9waTdSB3aPD,0.000121,0.653,0.918,0.888,11,0.171,-8.969,0.048,0
5e1T14bDQ5u4UDmirEcaRS,0.00558,0.504,0.901,0.343,9,0.339,-2.654,0.0885,1
5malmTPWSI6RKwTtl2XS3f,0.268,0.735,0.908,1.99e-06,8,0.115,-2.583,0.0456,0
183zXV9KoWhvheiFZ8Mw4c,0.3,0.606,0.861,0.00193,1,0.233,-6.235,0.0264,0
3bsCWgdpIjvp4wLN1bhbZU,0.00749,0.582,0.982,0.835,1,0.18,-1.479,0.0327,0
2YEJsPjzdQ83xGHSfi0ToB,0.0369,0.632,0.857,0.916,7,0.168,-4.943,0.0282,0
6PqcTmeGYYodvc1e8tIuUW,0.0315,0.523,0.977,0.0081,2,0.113,-6.687,0.426,0
6iJ6YubVyVSBTRBAnkGBWP,0.0493,0.788,0.412,0.949,4,0.267,-13.423,0.0913,0
75MNWqq9HDvTGSMdwpTgpV,8.39e-05,0.707,0.465,0.899,1,0.112,-13.022,0.047,0
3gru1sDxKkHJrTrI6czoCJ,0.0233,0.717,0.923,3.37e-06,1,0.461,-6.125,0.233,0
540O179lyhARltLpjrYEHy,0.00269,0.629,0.919,0.826,7,0.51,-7.87,0.0538,0
365hyL4CmYqlHDYsOClftC,0.000139,0.643,0.901,0.808,11,0.0883,-6.636,0.0439,0
6elkLaDKOY0bHzbMD2bKEU,0.0546,0.749,0.491,0.662,7,0.188,-12.566,0.0593,0
5BLD9Cm6hJ5L7LwCuNCAvj,0.000198,0.826,0.61,0.0272,11,0.0413,-7.392,0.121,0
2Wq0tedcpYpPA8f0u88v2u,0.00138,0.573,0.701,0.906,11,0.173,-11.721,0.0502,0
